Paire 1;Paire 2;Nb arrets
Chronobus;Moins de 1 km hippodrome;1
Chronobus;Moins de 2 km hippodrome;2
Chronobus;Moins de 1 km des machines;1
Chronobus;Moins de 2 km des machines;8
Chronobus;Moins de 1 km du stade de la Beaujoire;1
Chronobus;Moins de 2 km du stade de la Beaujoire;1
Chronobus;Moins de 1 km du parc de proce;0
Chronobus;Moins de 2 km du parc de proce;2
Inter-lignes tram/busway;Nom <7 lettres;12
Inter-lignes tram/busway;Nom <10 lettres;45
Inter-lignes tram/busway;1 seul mot;54
Inter-lignes tram/busway;3 mots ou plus;23
Inter-lignes tram/busway;Lettre doublee;27
Inter-lignes tram/busway;Dans Nantes;82
Inter-lignes tram/busway;Autre commune;29
Inter-lignes tram/busway;Nord Loire;74
Inter-lignes tram/busway;Sud Loire;20
Inter-lignes tram/busway;Moins de 1km du periph;27
Inter-lignes tram/busway;Moins de 2 km du periph;47
Inter-lignes tram/busway;Moins de 500m eau;33
Inter-lignes tram/busway;Moins de 1 km eau;55
Inter-lignes tram/busway;Moins de 1 km du chateau;16
Inter-lignes tram/busway;Moins de 2 km du chateau;40
Inter-lignes tram/busway;Moins de 1 km de la Tour Bretagne;13
Inter-lignes tram/busway;Moins de 2 km de la Tour Bretagne;38
Inter-lignes tram/busway;Moins de 1 km hippodrome;6
Inter-lignes tram/busway;Moins de 2 km hippodrome;12
Inter-lignes tram/busway;Moins de 1 km des machines;9
Inter-lignes tram/busway;Moins de 2 km des machines;32
Inter-lignes tram/busway;Moins de 1 km du stade de la Beaujoire;4
Inter-lignes tram/busway;Moins de 2 km du stade de la Beaujoire;6
Inter-lignes tram/busway;Moins de 1 km du parc de proce;1
Inter-lignes tram/busway;Moins de 2 km du parc de proce;15
Nom <7 lettres;Nom <10 lettres;12
Nom <7 lettres;1 seul mot;10
Nom <7 lettres;3 mots ou plus;0
Nom <7 lettres;Lettre doublee;0
Nom <7 lettres;Dans Nantes;8
Nom <7 lettres;Autre commune;4
Nom <7 lettres;Nord Loire;8
Nom <7 lettres;Sud Loire;2
Nom <7 lettres;Moins de 1km du periph;3
Nom <7 lettres;Moins de 2 km du periph;6
Nom <7 lettres;Moins de 500m eau;3
Nom <7 lettres;Moins de 1 km eau;6
Nom <7 lettres;Moins de 1 km du chateau;1
Nom <7 lettres;Moins de 2 km du chateau;4
Nom <7 lettres;Moins de 1 km de la Tour Bretagne;1
Nom <7 lettres;Moins de 2 km de la Tour Bretagne;3
Nom <7 lettres;Moins de 1 km hippodrome;0
Nom <7 lettres;Moins de 2 km hippodrome;0
Nom <7 lettres;Moins de 1 km des machines;1
Nom <7 lettres;Moins de 2 km des machines;3
Nom <7 lettres;Moins de 1 km du stade de la Beaujoire;1
Nom <7 lettres;Moins de 2 km du stade de la Beaujoire;2
Nom <7 lettres;Moins de 1 km du parc de proce;0
