Nom critère;Sur la ligne de Tramway 1;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;Sur la ligne de Busway 4;Sur la ligne de Busway 5;En correspondance avec un Chronobus;Sur 2 lignes ou plus;Terminus de ligne;Nom de 9 lettres ou moins;Nom en 1 seul mot;Nom en 3 mots ou plus;Contient une lettre doublee;Commence par un M;Commence par un B;Commence par une voyelle;Termine par un S;Termine par un E;Ne contient pas de E;Contient un H;Contient un P;Situe dans Nantes;Sur une autre commune que Nantes;Nord Loire;Sud Loire;Ile de Nantes;Moins de 1km du peripherique;Moins de 1 km d une riviere;Moins de 1 km du chateau;Moins de 1 km de la Tour Bretagne;Moins de 2 km hippodrome;Moins de 2 km des machines;Moins de 3 km du stade de la Beaujoire
Aimé Delrue;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX
Balinière;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Boissière;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX
Bourgeonnière;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI
Château de Rezé;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Chêne des Anglais;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX
Espace Diderot;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Facultés;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI
Gare de Pont Rousseau;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX
Grande Ouche;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Hôtel Dieu;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;VRAI;FAUX
Le Cardo;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Les Couëts;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Mangin;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX
Michelet - Sciences;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX
Morrhonnière - Petit Port;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI
Motte Rouge;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX
Neustrie;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Orvault Grand Val;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Pirmil;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX
Place du Cirque;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;VRAI;FAUX
