Critere A;Critere B;Critere C;Critere D;Critere E;Critere F;Arret AD;Arret BD;Arret CD;Arret AE;Arret BE;Arret CE;Arret AF;Arret BF;Arret CF;Temps
Inter-lignes tram/busway;Moins de 1 km de la Tour Bretagne;Moins de 2 km du chateau;Moins de 2 km des machines;Nom <7 lettres;Nord Loire;Chantiers Navals;Bignon;Halveque;Mediatheque;Poitou;Viarme-Talensac;Aime Delrue;Berlin;Jean Jaures;78.55308294
Autre commune;Nom <7 lettres;Tram 1;Inter-lignes tram/busway;Moins de 2 km du stade de la Beaujoire;Nord Loire;Neruda;Babiniere;Francois Mitterrand;Mangin;Ranzay;Bignon;Tourmaline;Halveque;Schoelcher;76.79938316
3 mots ou plus;Moins de 1 km du stade de la Beaujoire;Tram 2;Chronobus;Moins de 1km du periph;Nord Loire;Place du Cirque;Orvault Grand Val;Sillon de Bretagne;Haluchere - Batignolles;Ranzay;Halveque;50 Otages;Le Cardo;Santos Dumont;58.2004571
